Maximum_error,thermal_zone,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
1.608307363064565,N1AU402,2018-06-18 06:10:00,6.090277777777778,2018-06-18 17:00:00,0 days 10:50:00,5 days 15:20:00
0.6879240665946469,N1AU402,2018-06-26 06:10:00,0.9513888888888888,2018-06-26 11:10:00,0 days 05:00:00,0 days 17:50:00
0.2272456379528726,N1AU402,2018-07-04 06:10:00,0.6388888888888888,2018-07-04 09:00:00,0 days 02:50:00,0 days 12:30:00
0.3947119694318353,N1AU402,2018-07-12 06:20:00,2.0277777777777777,2018-07-12 14:20:00,0 days 08:00:00,1 days 16:40:00
0.2613598312290115,N1AU402,2018-07-20 06:20:00,0.6527777777777778,2018-07-20 16:50:00,0 days 10:30:00,0 days 05:10:00
0.2533776804220018,N1AU402,2018-07-28 06:20:00,1.8819444444444444,2018-07-28 18:30:00,0 days 12:10:00,1 days 09:00:00
0.3009662347029298,N1AU402,2018-08-05 06:20:00,1.625,2018-08-05 17:10:00,0 days 10:50:00,1 days 04:10:00
0.2744999266424521,N1AU402,2018-08-13 06:30:00,1.375,2018-08-13 17:20:00,0 days 10:50:00,0 days 22:10:00
0.2082440137232524,N1AU402,2018-08-21 06:30:00,0.6319444444444444,2018-08-21 13:30:00,0 days 07:00:00,0 days 08:10:00
0.3918579133766116,N1AU402,2018-08-29 06:30:00,2.8125,2018-08-29 17:30:00,0 days 11:00:00,2 days 08:30:00
0.3173755339074091,N1AU402,2018-09-06 06:30:00,1.0347222222222223,2018-09-06 13:00:00,0 days 06:30:00,0 days 18:20:00
0.290151442612462,N1AU402,2018-09-14 06:30:00,1.4513888888888888,2018-09-14 15:40:00,0 days 09:10:00,1 days 01:40:00
0.3928537936907297,N1AU402,2018-09-22 06:40:00,1.3680555555555556,2018-09-22 14:00:00,0 days 07:20:00,1 days 01:30:00
0.2327549083660969,N1AU402,2018-09-30 06:40:00,1.4166666666666667,2018-09-30 16:50:00,0 days 10:10:00,0 days 23:50:00
0.4224754474931842,N1AU402,2018-10-08 06:40:00,1.4027777777777777,2018-10-08 09:50:00,0 days 03:10:00,1 days 06:30:00
0.3486618989487198,N1AU402,2018-10-16 06:40:00,1.125,2018-10-16 09:00:00,0 days 02:20:00,1 days 00:40:00
0.1778511325787732,N1AU402,2018-10-24 06:40:00,1.2222222222222223,2018-10-24 17:00:00,0 days 10:20:00,0 days 19:00:00
0.5019644818927098,N1AU402,2018-11-01 06:50:00,2.7152777777777777,2018-11-01 12:40:00,0 days 05:50:00,2 days 11:20:00
0.1133019184063783,N1AU402,2018-11-09 06:50:00,0.6319444444444444,2018-11-09 12:50:00,0 days 06:00:00,0 days 09:10:00
0.2128154442429206,N1AU402,2018-11-17 07:00:00,0.6319444444444444,2018-11-17 13:50:00,0 days 06:50:00,0 days 08:20:00
0.2689535425781848,N1AU402,2018-11-25 07:00:00,1.2916666666666667,2018-11-25 18:10:00,0 days 11:10:00,0 days 19:50:00
0.405242790834702,N1AU402,2018-12-03 07:00:00,1.2291666666666667,2018-12-03 09:00:00,0 days 02:00:00,1 days 03:30:00
0.4254101393650487,N1AU402,2018-12-11 07:10:00,2.236111111111111,2018-12-11 13:40:00,0 days 06:30:00,1 days 23:10:00
0.2954722196724972,N1AU402,2018-12-19 07:10:00,1.9236111111111112,2018-12-19 17:20:00,0 days 10:10:00,1 days 12:00:00
0.315043193392988,N1AU402,2018-12-27 07:20:00,1.6944444444444444,2018-12-27 13:00:00,0 days 05:40:00,1 days 11:00:00
1.4687211209851512,N1AU403,2018-01-01 07:20:00,4.875,2018-01-01 18:00:00,0 days 10:40:00,4 days 10:20:00
0.1084498018462873,N1AU403,2018-01-09 07:20:00,0.6319444444444444,2018-01-09 17:20:00,0 days 10:00:00,0 days 05:10:00
0.3167153161584082,N1AU403,2018-01-17 07:20:00,1.930555555555556,2018-01-17 16:10:00,0 days 08:50:00,1 days 13:30:00
